Public_Food_Key,foodName,calories,protein,fat,transFat,carbohydrates,sugar,dietaryFiber,cholesterol,sodium,calcium,iron,vitaminC
F006327,"Parsnip, peeled, fresh, boiled, drained",255,1.9,0.2,,10.8,5.2,3.9,0,19,39,0.31,8
F006536,"Pea, green, fresh, raw",294,5.8,0.4,0,8.1,4,5.6,0,1,30,1.8,32
F006535,"Pea, green, fresh, boiled, drained",251,4.8,0.4,0,6.4,2.7,5.2,0,1,18,1.1,14
F006538,"Pea, green, frozen, boiled, drained",261,5.2,0.3,0,6.4,2.5,6.1,0,3,27,1.6,11
F007235,"Potato, chips, regular, fast food outlet, deep fried, blended oil, salted",944,3.8,10.1,0.9,28.2,0,3,8,228,10,0.86,1
F007236,"Potato, chips, regular, fast food outlet, deep fried, monounsaturated oil, salted","1,020",3.8,12.2,1.8,28.2,0,3,8,192,10,0.86,1
F007238,"Potato, chips, regular, independent takeaway outlet, deep fried, blended oil, salted",997,3.8,11.6,0.9,28.2,0,3,8,180,10,0.86,1
F007242,"Potato, chips, regular, purchased frozen, baked, no added fat","1,087",4.8,5.4,0.7,44.5,0.2,4.6,0,60,8,1.3,20
F007247,"Potato, coliban, peeled, raw",242,2,0,0,11.5,1,1.1,0,4,3,0.45,15
F007244,"Potato, coliban, peeled, baked, no added fat",368,3,0,,17.4,1.5,1.7,0,7,5,0.68,18
F007245,"Potato, coliban, peeled, boiled, drained",234,1,0,0,11.6,0,2,0,10,6,0.42,11
F007254,"Potato, desiree, peeled, raw",240,2.3,0,0,10.7,1.7,1.7,0,5,6,0.24,14
F007250,"Potato, desiree, peeled, baked, no added fat",364,3.5,0,,16.2,2.6,2.6,0,8,10,0.36,17
F007252,"Potato, desiree, peeled, boiled, drained",245,2.3,0,,10.9,1.7,1.7,0,5,6,0.23,11
F007308,"Potato, new, peeled, raw",272,2.3,0.1,0,12.8,0.6,1.1,0,3,4,0.6,15
F007305,"Potato, new, peeled, baked, no added fat",413,3.5,0.2,,19.4,0.8,1.7,0,4,7,0.91,18
F007306,"Potato, new, peeled, boiled, drained",282,2.5,0.1,0,12.8,0.4,2.3,0,3,4,0.5,11
F007325,"Potato, pale skin, peeled, raw",242,2,0,0,11.5,1,1.1,0,4,3,0.45,16
F007320,"Potato, pale skin, peeled, boiled, drained",258,1.5,0.1,0,12.1,0.3,2,0,8,5,0.31,10
F007314,"Potato, pale skin, peeled, baked, no added fat",368,3,0,,17.4,1.5,1.7,0,7,5,0.68,19
F007361,"Potato, pontiac, peeled, raw",278,2.4,0.1,0,12.6,0.7,2.1,0,2,4,0.5,15
F007358,"Potato, pontiac, peeled, baked, no added fat",421,3.6,0.2,,19.1,1.1,3.2,0,3,6,0.76,18
F007359,"Potato, pontiac, peeled, boiled, drained",283,2.4,0.1,,12.8,0.7,2.1,0,2,4,0.48,11
F007368,"Potato, red skin, peeled, raw",240,2.3,0,0,10.7,1.7,1.7,0,5,6,0.24,14
F007364,"Potato, red skin, peeled, baked, no added fat",364,3.5,0,,16.2,2.6,2.6,0,8,10,0.36,17
F007366,"Potato, red skin, peeled, boiled, drained",298,2,0,0,14.2,0.2,2.4,0,11,6,0.42,9
F007386,"Potato, sebago, peeled, raw",303,2.5,0.2,0,13.8,0.4,2.2,0,4,3,0.55,19
F007383,"Potato, sebago, peeled, baked, no added fat",460,3.8,0.2,,20.8,0.7,3.3,0,7,4,0.83,23
F007384,"Potato, sebago, peeled, boiled, drained",304,2.5,0.4,0,13.1,1,2.5,0,8,10,0.4,9
F007269,"Potato, fries, fast food outlet, deep fried, monounsaturated oil, salted","1,322",4.8,16.4,1.4,35.7,0.2,3.1,0,193,10,1.04,3
F007279,"Potato, fries, independent takeaway outlet, deep fried, blended oil, salted","1,361",4.8,17.4,0.8,35.7,0.2,3.1,0,210,10,1.04,3
F007535,"Pumpkin, butternut, peeled, fresh, raw",189,2.1,0.6,0,6.9,5.2,1.8,0,1,18,0.32,8
F007533,"Pumpkin, butternut, peeled, fresh, baked, no added fat",222,2.5,0.7,,8.1,6.1,2.1,0,1,21,0.38,8
F007534,"Pumpkin, butternut, peeled, fresh, boiled, drained",197,2.2,0.6,,7.2,5.4,1.9,0,1,18,0.32,6
F007540,"Pumpkin, golden nugget, peeled, fresh, raw",124,2.2,0.3,0,4,2.6,1.1,0,1,22,0.2,17
F007538,"Pumpkin, golden nugget, peeled, fresh, baked, no added fat",146,2.6,0.4,,4.7,3,1.3,0,1,26,0.24,17
F007539,"Pumpkin, golden nugget, peeled, fresh, boiled, drained",129,2.3,0.3,,4.2,2.7,1.1,0,1,22,0.2,13
F007545,"Pumpkin, jarrahdale, peeled, fresh, raw",112,0.7,0.1,0,5.2,4.3,1.6,0,0,16,0.12,9
F007543,"Pumpkin, jarrahdale, peeled, fresh, baked, no added fat",132,0.8,0.1,,6.1,5,1.9,0,0,19,0.15,9
F007544,"Pumpkin, jarrahdale, peeled, fresh, boiled, drained",116,0.7,0.1,,5.4,4.5,1.7,0,0,16,0.12,7
F007555,"Pumpkin, peeled, fresh, raw",144,1.2,0,0,6.7,6,1.9,0,0,19,0.27,14
F007553,"Pumpkin, peeled, fresh, baked, no added fat",170,1.5,0,,7.9,7,2.2,0,0,22,0.32,14
F007554,"Pumpkin, peeled, fresh, boiled, drained",150,1.3,0,,7,6.2,2,0,0,19,0.27,11
F007559,"Pumpkin, Queensland blue, peeled, fresh, raw",208,2,0.3,0,8.4,4.9,2.7,0,2,41,0.9,24
F007557,"Pumpkin, Queensland blue, peeled, fresh, baked, no added fat",244,2.4,0.4,,9.9,5.8,3.2,0,2,48,1.06,24
F007558,"Pumpkin, Queensland blue, peeled, fresh, boiled, drained",216,2.1,0.3,,8.8,5.1,2.8,0,2,40,0.89,19
F007606,"Radish, red skinned, unpeeled, raw",62,0.8,0.2,0,1.9,1.9,1.1,0,20,25,1.1,23
F007608,"Radish, white skinned, peeled, raw",86,0.7,0.3,0,2.9,2.9,1.8,0,28,30,0.3,17
F007712,"Rocket, fresh, raw",91,3.3,0.3,0,0.3,0.3,2.4,0,47,214,1.56,83
F007716,"Rosemary, fresh, raw",396,3.3,5.9,0,0.6,0.4,14.1,0,26,317,6.65,22
F008204,"Seaweed, nori, dried","1,266",46.7,4.3,0.4,2.3,0.3,34.3,0,470,310,19,290
F008203,"Seaweed, boiled, drained",228,8.4,0.8,,0.4,0,6.2,0,83,54,3.25,39
F008227,"Shallot, peeled, fresh, raw",107,1.5,0.1,0,3.1,3.1,2.9,0,6,95,0.41,22
F008226,"Shallot, peeled, fresh, fried, no added fat",172,2.4,0.2,,5,5,4.7,0,9,153,0.66,30
F008267,"Silverbeet, fresh, raw",66,1.5,0.2,0,1,1,2,0,195,72,2.3,21
F008266,"Silverbeet, fresh, boiled, drained",77,1.8,0.2,,1.2,1.2,2.3,0,218,80,2.57,14
F008373,"Snow pea, fresh, raw",157,3,0.2,0,4.7,2.9,2.6,0,1,25,0.9,46
F008372,"Snow pea, fresh, fried, no added fat",196,3.8,0.2,,5.9,3.6,3.2,0,1,31,1.12,49
F008371,"Snow pea, fresh, boiled, drained",169,3.2,0.2,,5,3.1,2.8,0,1,26,0.92,37
F008749,"Spinach, baby, fresh, raw",68,2.8,0,0,0,0,2.5,0,90,93,1.75,25
F008761,"Spinach, Mature English, fresh, raw",82,2.4,0.3,0,0.6,0.6,2.5,0,21,53,3.2,27
F008760,"Spinach, Mature English, fresh, boiled, drained",97,2.8,0.4,,0.7,0.7,2.9,0,23,59,3.58,17
F008763,"Spinach, water, fresh, raw",110,2.9,0.5,0,1,0.5,2.8,0,25,68,2.4,28
F008803,"Sprout, alfalfa, fresh, raw",91,3.2,0.3,0,0.5,0.5,2.2,0,39,19,0.78,36
F008806,"Sprout, bean, fresh, raw",94,3.1,0.1,0,1.6,1,1.3,0,1,10,0.4,12
F008811,"Squash, button, fresh, raw",110,2.7,0.2,0,3.2,2.9,0.5,0,1,6,0.3,26
F008810,"Squash, button, fresh, boiled, drained",130,3.2,0.2,,3.8,3.4,0.6,0,1,7,0.34,23
F008813,"Squash, scallopini, fresh, raw",84,2.2,0.2,0,2.1,2,0.5,0,9,19,0.8,26
F008812,"Squash, scallopini, fresh, boiled, drained",100,2.6,0.2,,2.5,2.4,0.6,0,10,21,0.9,23
F009021,"Swede, peeled, fresh, raw",93,0.9,0,0,3.7,3.4,2.2,0,12,22,0.3,27
F009020,"Swede, peeled, fresh, boiled, drained",100,1,0,,4,3.6,2.4,0,12,22,0.31,19
F009035,"Sweet potato, orange flesh, peeled, fresh, raw",293,1.9,0.1,0,14.1,5.6,2.6,0,10,27,0.5,31
F009033,"Sweet potato, orange flesh, peeled, fresh, baked, no added fat",357,2.3,0.1,,17.2,6.8,3.1,0,12,33,0.61,30
F009034,"Sweet potato, orange flesh, peeled, fresh, boiled, drained",315,2,0.1,,15.2,6,2.7,0,10,28,0.51,25
F009081,"Tamarind, paste, pure","1,048",2.8,0.6,0,57.4,38.8,5.1,0,28,74,2.8,4
F009094,"Taro, peeled, fresh, raw",469,1.9,0.2,0,23.4,1.1,3.5,0,6,12,0.7,16
F009093,"Taro, peeled, fresh, boiled, drained",504,2,0.2,,25.2,1.2,3.8,0,6,12,0.72,11
F009340,"Turnip, white, peeled, fresh, raw",94,1.3,0,0,3.4,3.2,1.7,0,24,21,0.3,23
F009339,"Turnip, white, peeled, fresh, boiled, no added fat",101,1.4,0,,3.6,3.4,1.8,0,24,21,0.31,16
F009604,"Yam, wild harvested, cooked",448,3.2,0.3,0,20.9,0.5,3.5,0,4,3,0.35,10
F009190,"Tomato, cherry, raw",90,0.9,0,0,3.5,3.5,1.7,0,6,14,0.63,26
F009193,"Tomato, common, raw",73,0.6,0,0,3,2.5,1.1,0,4,11,0.23,14
F009211,"Tomato, roma, raw",74,1,0.1,0,2.4,2.3,1.2,0,8,9,0.27,18
F009208,"Tomato, paste, with added salt",277,3.1,0.3,0,10.4,9.9,3.5,0,630,28,1.6,15
F009206,"Tomato, paste, no added salt",266,3.4,0.5,0,10.1,9.6,3.6,0,36,28,4.7,15
F009209,"Tomato, puree, commercial",98,1.2,0.1,0,3.8,3.8,1.5,0,249,22,0.58,6
F009217,"Tomato, sundried","1,101",11.2,4.6,2.2,35.2,33.9,14.7,0,73,100,5.6,3
F009222,"Tomato, whole, canned in tomato juice, undrained",79,0.9,0,0,3,3,1,0,52,20,0.79,5
F009221,"Tomato, whole, canned in tomato juice, drained",88,0.8,0.3,0,3,3,1.3,0,86,27,0.2,10
F009491,"Vine leaf, grape, canned",254,4.3,2,0,1.8,1.8,9.9,0,"2,853",289,2.98,11
F009514,"Water chestnut, peeled, canned, drained",218,0.6,0.9,0,9.3,5.1,2.7,0,10,3,2.8,0
F009532,"Watercress, raw",110,2.9,0.4,0,0.8,0.7,3.8,0,48,85,3,101
F009775,"Zucchini, green skin, fresh, unpeeled, raw",65,0.9,0.3,0,1.7,1.7,1.1,0,1,18,0.5,24
F009774,"Zucchini, green skin, fresh, unpeeled, fried, no added fat",92,1.3,0.4,,2.4,2.4,1.6,0,1,25,0.71,29
F009773,"Zucchini, green skin, fresh, unpeeled, boiled, drained",77,1.1,0.4,,2,2,1.3,0,1,20,0.56,21
F009766,"Zucchini, golden, fresh, unpeeled, raw",78,2.2,0.3,0,1.1,1.1,1,0,1,16,0.4,30
F009765,"Zucchini, golden, fresh, unpeeled, fried, no added fat",111,3.1,0.4,,1.6,1.6,1.4,0,1,23,0.57,36
F009764,"Zucchini, golden, fresh, unpeeled, boiled, drained",93,2.6,0.4,,1.3,1.3,1.2,0,1,18,0.45,27
